Symbol,Count,Probability,InverseProbability,MutualInformation,Entropy,Code,CodeLength,TotalBits,AvgCodeLength
z,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111110111011,13,13,0.0027519051651143096
ह,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011110,12,12,0.002540220152413209
ि,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011111,12,12,0.002540220152413209
न,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100000,12,12,0.002540220152413209
्,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111000010,13,13,0.0027519051651143096
द,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111000011,13,13,0.0027519051651143096
ी,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100010,12,12,0.002540220152413209
Р,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100011,12,12,0.002540220152413209
ف,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100100,12,12,0.002540220152413209
ا,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111001010,13,13,0.0027519051651143096
ر,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111001011,13,13,0.0027519051651143096
س,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100110,12,12,0.002540220152413209
ی,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111100111,12,12,0.002540220152413209
—,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101000,12,12,0.002540220152413209
@,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101001,12,12,0.002540220152413209
1,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101010,12,12,0.002540220152413209
6,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101011,12,12,0.002540220152413209
3,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101100,12,12,0.002540220152413209
J,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111011010,13,13,0.0027519051651143096
V,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111011011,13,13,0.0027519051651143096
G,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101110,12,12,0.002540220152413209
é,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111101111,12,12,0.002540220152413209
¡,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110000,12,12,0.002540220152413209
©,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111100010,13,13,0.0027519051651143096
0,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111100011,13,13,0.0027519051651143096
5,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110010,12,12,0.002540220152413209
ї,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110011,12,12,0.002540220152413209
н,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110100,12,12,0.002540220152413209
ь,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111101010,13,13,0.0027519051651143096
Ε,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111101011,13,13,0.0027519051651143096
η,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110110,12,12,0.002540220152413209
ν,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111110111,12,12,0.002540220152413209
ι,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111000,12,12,0.002540220152413209
κ,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111001,12,12,0.002540220152413209
ά,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111010,12,12,0.002540220152413209
繁,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111011,12,12,0.002540220152413209
ע,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111100,12,12,0.002540220152413209
ב,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111111010,13,13,0.0027519051651143096
ר,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111111111011,13,13,0.0027519051651143096
י,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111110,12,12,0.002540220152413209
ת,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111111111,12,12,0.002540220152413209
